openmlid,seed,rf_oob,rf_test,lda_oob,lda_test,pca_oob,pca_test,choice,best_choice_oob,best_choice_test,gap,imp,traintime_rf_act,traintime_lda_act,traintime_pca_act,traintime_rf_max,traintime_lda_max,traintime_pca_max,trees_rf,trees_lda,trees_pca,selfopt_oob,selfopt_test,gap_oob,gap_test,imp_oob,imp_test,traintime_total_act,traintime_total_max,time_compression,tree_compression
3,14,0.98,0.9731,0.978,0.9756,0.9747,0.9663,rf,rf,lda,0.0025000000000000577,0.0,19.004300000000004,10.7144,51.70920000000001,48.79020000000001,28.278500000000005,129.54940000000002,39,37,41,0.98,0.9731,0.0,0.0025000000000000577,0.0,0.0,81.42790000000002,206.61810000000003,0.394098580908449,0.39
3,15,0.9775,0.9716,0.981,0.9765,0.9752,0.9697,lda,lda,lda,0.0,0.005,11.2431,13.3021,50.0935,41.4539,26.066500000000005,116.06909999999996,28,49,42,0.981,0.9765,0.0,0.0,0.0034999999999999476,0.0049000000000000155,74.6387,183.58949999999996,0.4065521176319997,0.39666666666666667
3,16,0.9795,0.9692,0.979,0.9731,0.9672,0.9646,lda,rf,lda,0.0,0.004,18.138400000000004,10.892400000000006,43.04020000000001,39.2377,23.5173,110.48510000000002,46,45,40,0.979,0.9731,0.000500000000000056,0.0,-0.000500000000000056,0.0039000000000000146,72.07100000000003,173.2401,0.41601800045139675,0.43666666666666665
3,17,0.9602,0.9721,0.9597,0.9768,0.9584,0.9714,lda,rf,lda,0.0,0.005,13.346399999999996,19.5494,47.62450000000001,42.0123,26.5461,126.78730000000004,31,71,37,0.9597,0.9768,0.000500000000000056,0.0,-0.000500000000000056,0.0047000000000000375,80.5203,195.34570000000005,0.4121938696372635,0.4633333333333333
3,18,0.9765,0.9732,0.976,0.9745,0.97,0.9716,lda,rf,lda,0.0,0.001,15.129200000000004,13.1431,34.55769999999999,38.6613,23.76809999999999,107.2711,38,54,30,0.976,0.9745,0.000500000000000056,0.0,-0.000500000000000056,0.0013000000000000789,62.83,169.70049999999998,0.370240511960778,0.4066666666666667
3,19,0.9735,0.9772,0.9762,0.9764,0.9727,0.9701,lda,lda,rf,0.0007999999999999119,-0.001,14.5329,13.581899999999996,53.939799999999984,44.16849999999999,26.437100000000008,127.96280000000002,32,53,41,0.9762,0.9764,0.0,0.0007999999999999119,0.0026999999999999247,-0.0007999999999999119,82.05459999999998,198.5684,0.41323090683109687,0.42
6,0,0.941,0.94,0.9547,0.9501,0.9558,0.9499,pca,pca,lda,0.00019999999999997797,0.01,151.34130000000005,232.64839999999995,4103.257099999999,300.6875,417.55319999999983,4103.257099999999,50,56,100,0.9558,0.9499,0.0,0.00019999999999997797,0.014800000000000035,0.00990000000000002,4487.246799999999,4821.497799999999,0.9306748620729434,0.6866666666666666
6,1,0.9471,0.94,0.9559,0.9505,0.9565,0.9521,pca,pca,pca,0.0,0.012,159.7906,288.4430999999999,4025.611399999999,314.23209999999995,436.9158999999999,4025.611399999999,51,66,100,0.9565,0.9521,0.0,0.0,0.009399999999999964,0.0121,4473.845099999999,4776.759399999999,0.9365858158985356,0.7233333333333334
6,2,0.9458,0.9405,0.9588,0.947,0.9618,0.9495,lda,pca,pca,0.0025000000000000577,0.006,182.47130000000004,431.3080000000003,2340.665800000001,309.8242,431.3080000000003,4084.1823000000013,59,100,58,0.9588,0.947,0.0030000000000000027,0.0025000000000000577,0.013000000000000012,0.00649999999999995,2954.4451000000017,4825.314500000001,0.6122803187232668,0.7233333333333334
6,3,0.9453,0.9421,0.9534,0.9509,0.9514,0.9505,lda,lda,lda,0.0,0.009,193.15220000000005,489.7569,2674.8156,336.13569999999993,489.7569,4044.9638,61,100,66,0.9534,0.9509,0.0,0.0,0.008099999999999996,0.008799999999999919,3357.7246999999998,4870.8564,0.6893499672870668,0.7566666666666667
6,4,0.9448,0.9402,0.957,0.9505,0.9574,0.9494,pca,pca,lda,0.0010999999999999899,0.009,204.74150000000003,264.33629999999994,4092.8387999999986,320.59669999999994,432.45979999999986,4092.8387999999986,64,61,100,0.9574,0.9494,0.0,0.0010999999999999899,0.012600000000000056,0.009199999999999986,4561.916599999999,4845.895299999998,0.9413980941767356,0.75
6,5,0.9452,0.9416,0.9556,0.9494,0.9569,0.9498,lda,pca,pca,0.00039999999999995595,0.008,212.2483,423.97969999999987,2411.2159999999994,320.3644000000001,450.9065,4118.442799999999,66,94,58,0.9556,0.9494,0.0012999999999999678,0.00039999999999995595,0.010399999999999965,0.007800000000000029,3047.4439999999995,4889.713699999999,0.6232356712418561,0.7266666666666667
6,6,0.944,0.9403,0.9579,0.9494,0.9529,0.9484,lda,lda,lda,0.0,0.009,260.1763,490.4377000000002,2819.8684999999987,357.5358,500.67380000000014,4628.0602,73,98,62,0.9579,0.9494,0.0,0.0,0.013900000000000023,0.009099999999999997,3570.482499999999,5486.2698,0.6508033017260652,0.7766666666666666
6,7,0.9469,0.9405,0.9604,0.9476,0.9574,0.9511,lda,lda,pca,0.0034999999999999476,0.007,158.57110000000003,409.5886,2512.581900000001,303.2998000000002,417.77740000000006,3962.8514,52,98,63,0.9604,0.9476,0.0,0.0034999999999999476,0.013500000000000068,0.007099999999999995,3080.741600000001,4683.9286,0.6577259952254612,0.71
6,8,0.9494,0.9409,0.9571,0.95,0.9612,0.9515,pca,pca,pca,0.0,0.011,242.1431,361.1899,3792.7853000000014,371.23569999999984,497.9713,4527.630300000002,65,73,84,0.9612,0.9515,0.0,0.0,0.011800000000000033,0.010600000000000054,4396.118300000002,5396.837300000001,0.8145730648578198,0.74
6,9,0.9502,0.9395,0.9593,0.9481,0.9568,0.9501,lda,lda,pca,0.0019999999999998908,0.009,210.0746,397.63300000000015,2782.9710000000014,334.08540000000005,466.4132000000001,4086.736800000001,63,86,67,0.9593,0.9481,0.0,0.0019999999999998908,0.009099999999999997,0.008600000000000052,3390.6786000000016,4887.235400000001,0.6937825421709788,0.72
6,10,0.953,0.9412,0.9614,0.9494,0.9626,0.9496,lda,pca,pca,0.00019999999999997797,0.008,222.9254,385.1686,2883.172799999999,364.7701,519.1678999999998,4788.5595,61,74,60,0.9614,0.9494,0.0011999999999999789,0.00019999999999997797,0.008400000000000074,0.008199999999999985,3491.266799999999,5672.4975,0.6154726026763342,0.65
6,11,0.9473,0.9422,0.9548,0.9505,0.9608,0.9523,pca,pca,pca,0.0,0.01,256.1911,292.34589999999986,4018.4584,337.5592,451.04960000000005,4144.517800000001,75,63,97,0.9608,0.9523,0.0,0.0,0.013499999999999956,0.010099999999999998,4566.9954,4933.126600000001,0.9257811060433759,0.7833333333333333
6,12,0.9496,0.9426,0.9578,0.9487,0.9584,0.9502,lda,pca,pca,0.0015000000000000568,0.006,194.1968,380.9115000000001,2175.0091,298.51880000000006,414.3978,3896.772600000001,65,92,56,0.9578,0.9487,0.0006000000000000449,0.0015000000000000568,0.008199999999999985,0.006099999999999994,2750.1174,4609.689200000001,0.5965949721729612,0.71
6,13,0.9502,0.9421,0.9601,0.949,0.9585,0.9499,pca,lda,pca,0.0,0.008,191.298,339.4271000000001,4075.1021,376.38629999999984,515.8641000000001,4745.709899999999,51,66,86,0.9585,0.9499,0.0015999999999999348,0.0,0.008299999999999974,0.007799999999999918,4605.8272,5637.960299999999,0.8169314707661209,0.6766666666666666
6,14,0.9538,0.9399,0.9646,0.9505,0.9663,0.9507,pca,pca,pca,0.0,0.011,194.54040000000003,257.61780000000005,3727.5782,302.9393,416.17850000000016,3886.4091,64,62,96,0.9663,0.9507,0.0,0.0,0.012500000000000067,0.010800000000000032,4179.7364,4605.5269,0.9075479289894062,0.74
6,15,0.9506,0.9405,0.9608,0.9489,0.9626,0.9487,lda,pca,lda,0.0,0.008,195.10650000000004,459.80310000000014,2541.2022,344.016,483.39840000000015,4346.845999999998,59,95,60,0.9608,0.9489,0.0018000000000000238,0.0,0.010199999999999987,0.008399999999999963,3196.1118000000006,5174.260399999997,0.6176944245017127,0.7133333333333334
6,16,0.9435,0.9386,0.9598,0.9485,0.9595,0.9507,pca,lda,pca,0.0,0.012,191.15830000000003,331.3355,3487.561099999999,329.7408000000001,498.70889999999986,4591.211299999997,59,67,76,0.9595,0.9507,0.00029999999999996696,0.0,0.016000000000000014,0.0121,4010.054899999999,5419.660999999997,0.7399088061042934,0.6733333333333333
6,17,0.9493,0.9392,0.956,0.9489,0.957,0.9491,lda,pca,pca,0.000200000000000089,0.01,192.13420000000005,428.79309999999987,2262.6194999999993,302.82650000000007,437.1240999999998,3923.372499999998,64,98,58,0.956,0.9489,0.0010000000000000009,0.000200000000000089,0.006699999999999928,0.009699999999999931,2883.546799999999,4663.323099999998,0.6183459173137715,0.7333333333333333
6,18,0.9469,0.9407,0.96,0.9503,0.9578,0.9512,lda,lda,pca,0.0009000000000000119,0.01,178.8761,517.0805,2891.562899999999,364.98420000000016,517.0805,4832.088899999996,49,100,60,0.96,0.9503,0.0,0.0009000000000000119,0.0131,0.009600000000000053,3587.519499999999,5714.153599999996,0.6278304279394942,0.6966666666666667
6,19,0.9503,0.9429,0.9585,0.9524,0.958,0.9519,lda,lda,lda,0.0,0.01,207.02849999999995,427.15449999999987,2492.382700000001,310.7256000000001,427.15449999999987,4046.322300000001,66,100,62,0.9585,0.9524,0.0,0.0,0.008199999999999985,0.009500000000000064,3126.565700000001,4784.202400000001,0.653518693105459,0.76
11,0,0.8739,0.8483,0.921,0.8701,0.9185,0.8812,pca,lda,pca,0.0,0.033,2.6340000000000003,1.9725,5.299599999999999,3.5872,5.734499999999998,12.7142,72,31,42,0.9185,0.8812,0.0025000000000000577,0.0,0.04459999999999997,0.03289999999999993,9.906099999999999,22.035899999999998,0.4495436991454853,0.48333333333333334
11,1,0.8535,0.8632,0.8981,0.903,0.9083,0.8987,pca,pca,lda,0.0042999999999999705,0.036,1.5115999999999998,2.6810000000000005,7.1595999999999975,3.2418,5.8358000000000025,11.3863,48,47,65,0.9083,0.8987,0.0,0.0042999999999999705,0.05479999999999996,0.03550000000000009,11.352199999999998,20.463900000000002,0.5547427420970585,0.5333333333333333
11,2,0.8267,0.8594,0.8955,0.8953,0.8981,0.8919,lda,pca,lda,0.0,0.036,2.2133000000000007,2.5773,5.359300000000001,3.2163000000000017,4.862600000000001,9.842899999999997,69,52,55,0.8955,0.8953,0.0026000000000000467,0.0,0.06879999999999997,0.03589999999999993,10.149900000000002,17.921799999999998,0.5663437824325683,0.5866666666666667
11,3,0.8408,0.8517,0.8917,0.8872,0.8994,0.8808,lda,pca,lda,0.0,0.035,1.0103,2.5002,3.5029000000000003,3.2362000000000006,5.054500000000002,10.205600000000006,31,50,33,0.8917,0.8872,0.007699999999999929,0.0,0.050900000000000056,0.035499999999999976,7.013400000000001,18.49630000000001,0.3791785384103846,0.38
11,4,0.8688,0.8522,0.9108,0.9043,0.9108,0.8897,lda,lda,lda,0.0,0.052,1.7261999999999995,3.9115,3.6459,3.6437,6.275900000000001,11.8125,50,61,31,0.9108,0.9043,0.0,0.0,0.04200000000000004,0.052100000000000035,9.2836,21.732100000000003,0.4271837512251462,0.47333333333333333
11,5,0.837,0.8393,0.9032,0.8978,0.9108,0.8855,lda,pca,lda,0.0,0.058,1.5640999999999996,1.5817999999999997,3.6127000000000007,3.2415999999999987,5.4293999999999984,10.819199999999995,48,29,32,0.9032,0.8978,0.007600000000000051,0.0,0.06620000000000004,0.058499999999999996,6.7585999999999995,19.490199999999994,0.34676914551928667,0.36333333333333334
11,6,0.8599,0.8577,0.8854,0.8974,0.8726,0.8876,lda,lda,lda,0.0,0.04,1.3414,3.540700000000001,5.269800000000001,3.5717999999999988,5.626900000000001,12.176700000000006,41,62,42,0.8854,0.8974,0.0,0.0,0.025499999999999967,0.03969999999999996,10.151900000000001,21.375400000000006,0.4749338024083759,0.48333333333333334
11,7,0.8879,0.8539,0.9236,0.8881,0.9236,0.8778,pca,lda,lda,0.010299999999999976,0.024,1.2466,3.3895999999999997,7.2521,3.4870999999999994,5.2086999999999986,10.376600000000003,36,66,70,0.9236,0.8778,0.0,0.010299999999999976,0.035699999999999954,0.023900000000000032,11.888300000000001,19.072400000000002,0.6233248044294373,0.5733333333333334
11,8,0.8153,0.8632,0.8357,0.8919,0.8612,0.9004,lda,pca,pca,0.008499999999999952,0.029,1.4331,2.9367,5.548700000000002,3.3791,4.630000000000001,9.557600000000004,46,63,58,0.8357,0.8919,0.025499999999999967,0.008499999999999952,0.020399999999999974,0.02870000000000006,9.918500000000002,17.566700000000004,0.5646194219745313,0.5566666666666666
11,9,0.8497,0.8624,0.907,0.8932,0.8981,0.9098,pca,lda,pca,0.0,0.047,1.6382999999999994,2.1563,5.871599999999997,3.3632999999999997,4.9522,11.263799999999994,49,43,55,0.8981,0.9098,0.008900000000000019,0.0,0.0484,0.0474,9.666199999999996,19.579299999999996,0.4936948716246239,0.49
