openmlid,seed,rf_oob,rf_test,lda_oob,lda_test,pca_oob,pca_test,choice,best_choice_oob,best_choice_test,gap,imp,traintime_rf_act,traintime_lda_act,traintime_pca_act,traintime_rf_max,traintime_lda_max,traintime_pca_max,trees_rf,trees_lda,trees_pca,selfopt_oob,selfopt_test,gap_oob,gap_test,imp_oob,imp_test,traintime_total_act,traintime_total_max,time_compression,tree_compression
6,6,0.944,0.9403,0.9579,0.9494,0.9529,0.9484,lda,lda,lda,0.0,0.009,114.806,490.4377000000002,1986.6389999999994,357.5358,500.67380000000014,4628.0602,34,98,44,0.9579,0.9494,0.0,0.0,0.013900000000000023,0.009099999999999997,2591.8826999999997,5486.2698,0.4724307761896799,0.5866666666666667
6,7,0.9469,0.9405,0.9604,0.9476,0.9574,0.9511,pca,lda,pca,0.0,0.011,79.99210000000002,129.30200000000002,3845.4294,303.2998000000002,417.77740000000006,3962.8514,26,31,97,0.9574,0.9511,0.0030000000000000027,0.0,0.010500000000000065,0.010599999999999943,4054.7235,4683.9286,0.8656672307088541,0.5133333333333333
6,8,0.9494,0.9409,0.9571,0.95,0.9612,0.9515,lda,pca,pca,0.0015000000000000568,0.009,107.5071,497.9713,1496.8792,371.23569999999984,497.9713,4527.630300000002,29,100,32,0.9571,0.95,0.0041000000000001036,0.0015000000000000568,0.007699999999999929,0.009099999999999997,2102.3576000000003,5396.837300000001,0.38955363727566883,0.5366666666666666
6,9,0.9502,0.9395,0.9593,0.9481,0.9568,0.9501,pca,lda,pca,0.0,0.011,77.0587,126.6394,4086.736800000001,334.08540000000005,466.4132000000001,4086.736800000001,24,27,100,0.9568,0.9501,0.0025000000000000577,0.0,0.006599999999999939,0.010599999999999943,4290.434900000001,4887.235400000001,0.8778858697905159,0.5033333333333333
6,10,0.953,0.9412,0.9614,0.9494,0.9626,0.9496,pca,pca,pca,0.0,0.008,120.49850000000004,212.7124,4788.5595,364.7701,519.1678999999998,4788.5595,33,41,100,0.9626,0.9496,0.0,0.0,0.009600000000000053,0.008399999999999963,5121.7704,5672.4975,0.902912764615586,0.58
6,11,0.9473,0.9422,0.9548,0.9505,0.9608,0.9523,pca,pca,pca,0.0,0.01,125.5988,112.26989999999998,4018.4584,337.5592,451.04960000000005,4144.517800000001,35,24,97,0.9608,0.9523,0.0,0.0,0.013499999999999956,0.010099999999999998,4256.3271,4933.126600000001,0.8628051629568961,0.52
6,12,0.9496,0.9426,0.9578,0.9487,0.9584,0.9502,pca,pca,pca,0.0,0.008,81.2039,82.67920000000002,3896.772600000001,298.51880000000006,414.3978,3896.772600000001,27,20,100,0.9584,0.9502,0.0,0.0,0.00880000000000003,0.007600000000000051,4060.655700000001,4609.689200000001,0.8808957662481888,0.49
6,13,0.9502,0.9421,0.9601,0.949,0.9585,0.9499,pca,lda,pca,0.0,0.008,93.6317,157.78150000000005,4075.1021,376.38629999999984,515.8641000000001,4745.709899999999,25,31,86,0.9585,0.9499,0.0015999999999999348,0.0,0.008299999999999974,0.007799999999999918,4326.5153,5637.960299999999,0.7673901676817414,0.47333333333333333
6,14,0.9538,0.9399,0.9646,0.9505,0.9663,0.9507,pca,pca,pca,0.0,0.011,63.4332,144.5342,3727.5782,302.9393,416.17850000000016,3886.4091,21,35,96,0.9663,0.9507,0.0,0.0,0.012500000000000067,0.010800000000000032,3935.5456,4605.5269,0.85452667750133,0.5066666666666667
6,15,0.9506,0.9405,0.9608,0.9489,0.9626,0.9487,pca,pca,lda,0.00019999999999997797,0.008,91.78430000000002,149.4534,4131.383299999999,344.016,483.39840000000015,4346.845999999998,29,31,95,0.9626,0.9487,0.0,0.00019999999999997797,0.01200000000000001,0.008199999999999985,4372.620999999998,5174.260399999997,0.8450716937245757,0.5166666666666667
6,16,0.9435,0.9386,0.9598,0.9485,0.9595,0.9507,pca,lda,pca,0.0,0.012,84.5534,131.68,3487.561099999999,329.7408000000001,498.70889999999986,4591.211299999997,26,27,76,0.9595,0.9507,0.00029999999999996696,0.0,0.016000000000000014,0.0121,3703.794499999999,5419.660999999997,0.6833996628202393,0.43
